inten,std
13101.769,117.057
13118.468,117.070
12850.089,115.958
13244.169,117.530
13638.077,119.358
13814.689,120.039
13542.462,118.766
13644.922,119.199
13492.789,118.488
13358.050,117.823
13267.175,117.556
13086.516,116.710
13151.839,117.057
13177.981,117.287
13328.614,117.908
13473.256,118.568
13330.334,117.874
13730.538,119.580
13310.314,117.950
13434.630,118.542
13315.778,117.760
13604.920,119.123
14125.615,121.150
14031.217,120.857
14670.173,123.468
14751.096,123.824
14688.570,123.634
14659.777,123.375
14838.442,124.279
14549.341,122.973
14059.486,121.010
13524.726,118.762
13501.138,118.580
12540.810,114.526
12548.050,114.557
12484.362,114.391
12403.034,113.975
12615.972,114.932
13011.784,116.543
12918.780,116.238
13533.717,118.804
13949.813,120.625
13740.235,119.834
14469.806,122.944
14528.715,122.904
14464.813,122.590
14477.914,122.879
13955.145,120.757
13234.506,117.619
12654.391,115.084
12012.647,112.162
11623.738,110.573
11367.288,109.322
11595.101,110.437
10977.017,107.681
11026.384,107.379
11076.717,107.941
11372.224,109.134
11788.046,111.064
11379.179,109.356
12170.442,112.702
11919.634,111.596
11918.776,111.470
11982.466,111.989
11903.853,111.259
11487.044,109.848
11597.322,110.207
11335.044,108.975
11200.518,108.267
11212.303,108.460
10640.626,105.885
10683.199,105.857
10707.273,105.847
10589.906,105.530
10336.073,104.435
10283.566,103.849
10102.366,103.081
10265.801,103.825
10026.152,102.784
10368.573,104.382
10129.112,103.086
10284.730,104.018
10614.089,105.526
10975.051,107.199
10916.538,106.741
11348.969,108.787
11437.966,109.447
11374.822,109.040
11371.298,109.163
11295.259,108.695
10980.529,107.232
10821.483,106.351
10421.047,104.803
10121.924,103.226
9405.558,99.918
9379.423,99.467
8851.985,96.962
8913.004,97.199
9142.612,98.517
9221.927,98.517
8923.404,97.456
9267.498,98.922
9487.526,100.148
9184.053,98.614
9406.665,99.547
9871.705,101.748
9949.230,102.253
9506.724,100.073
10086.186,102.857
9552.426,100.537
9450.930,99.843
9493.802,100.043
9149.577,98.603
9248.880,98.973
8869.392,96.983
8624.711,95.690
8443.580,94.845
8109.472,93.036
8216.923,93.507
8011.640,92.491
7955.049,92.296
8016.064,92.705
8290.659,93.943
8146.575,93.607
8178.681,93.383
8257.685,94.012
8515.043,95.416
8520.162,94.986
8441.043,94.780
8745.151,96.505
8325.800,94.437
8337.528,94.500
8150.158,93.409
8358.449,94.442
8185.782,93.575
8151.428,93.077
7629.241,90.589
7761.746,91.260
7472.087,89.433
7500.881,89.891
7487.660,89.657
7252.915,88.427
7413.498,89.433
7041.749,87.323
7229.847,88.568
6873.360,86.454
6939.160,86.875
7211.804,88.387
7159.729,87.882
6852.971,86.269
6827.768,85.949
7149.639,87.820
7006.404,87.237
7080.094,87.231
7172.371,87.990
7133.070,87.449
