TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,,TIME,MATH
1.63E+04,-1.1,-1.1,-0.18,-0.18,,3.27E+05,0.003125
1.64E+04,-1.1,-1.1,-0.18,-0.18,,3.28E+05,0.0034375
1.65E+04,-1.1,-1.06,-0.18,-0.16,,3.30E+05,0.003125
1.66E+04,-1.1,-1.1,-0.18,-0.18,,3.31E+05,0.00289063
1.66E+04,-1.1,-1.1,-0.18,-0.18,,3.33E+05,0.00257812
1.67E+04,-1.1,-1.1,-0.2,-0.2,,3.34E+05,0.00226562
1.68E+04,-1.1,-1.06,-0.16,-0.16,,3.36E+05,0.0028125
1.69E+04,-1.1,-1.1,-0.18,-0.18,,3.38E+05,0.0034375
1.70E+04,-1.1,-1.1,-0.18,-0.16,,3.39E+05,0.003125
1.70E+04,-1.1,-1.1,-0.18,-0.18,,3.41E+05,0.00289063
1.71E+04,-1.1,-1.06,-0.18,-0.18,,3.42E+05,0.00289063
1.72E+04,-1.06,-1.1,-0.18,-0.18,,3.44E+05,0.00289063
1.73E+04,-1.06,-1.06,-0.18,-0.18,,3.45E+05,0.003125
1.73E+04,-1.1,-1.1,-0.18,-0.18,,3.47E+05,0.0034375
1.74E+04,-1.1,-1.06,-0.16,-0.16,,3.48E+05,0.003125
1.75E+04,-1.1,-1.1,-0.18,-0.18,,3.50E+05,0.00289063
1.76E+04,-1.1,-1.06,-0.18,-0.16,,3.52E+05,0.003125
1.77E+04,-1.1,-1.1,-0.18,-0.18,,3.53E+05,0.0034375
1.77E+04,-1.06,-1.06,-0.18,-0.18,,3.55E+05,0.003125
1.78E+04,-1.1,-1.1,-0.18,-0.18,,3.56E+05,0.00289063
1.79E+04,-1.1,-1.1,-0.18,-0.16,,3.58E+05,0.00289063
1.80E+04,-1.1,-1.1,-0.18,-0.18,,3.59E+05,0.00289063
1.80E+04,-1.1,-1.1,-0.18,-0.16,,3.61E+05,0.00289063
1.81E+04,-1.1,-1.1,-0.18,-0.18,,3.63E+05,0.00289063
1.82E+04,-1.1,-1.06,-0.16,-0.16,,3.64E+05,0.00289063
1.83E+04,-1.1,-1.1,-0.18,-0.2,,3.66E+05,0.00289063
1.84E+04,-1.06,-1.06,-0.2,-0.18,,3.67E+05,0.00289063
1.84E+04,-1.1,-1.1,-0.18,-0.18,,3.69E+05,0.00289063
1.85E+04,-1.1,-1.06,-0.18,-0.16,,3.70E+05,0.00289063
1.86E+04,-1.06,-1.06,-0.18,-0.18,,3.72E+05,0.00289063
1.87E+04,-1.06,-1.06,-0.18,-0.18,,3.73E+05,0.00289063
