TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,,TIME,MATH
2.50E+04,1.62,1.62,-0.98,-0.98,,5.00E+05,0.00109375
2.52E+04,1.62,1.62,-0.98,-0.94,,5.03E+05,0.00078125
2.53E+04,1.62,1.62,-0.98,-0.98,,5.06E+05,0.000546875
2.55E+04,1.62,1.66,-0.98,-0.94,,5.09E+05,0.00109375
2.56E+04,1.62,1.62,-0.98,-0.98,,5.13E+05,0.00171875
2.58E+04,1.62,1.66,-0.94,-0.94,,5.16E+05,0.00140625
2.59E+04,1.62,1.62,-0.98,-0.98,,5.19E+05,0.00109375
2.61E+04,1.62,1.62,-0.98,-0.94,,5.22E+05,0.00078125
2.63E+04,1.62,1.62,-0.98,-0.98,,5.25E+05,0.000546875
2.64E+04,1.66,1.66,-0.94,-0.94,,5.28E+05,0.00140625
2.66E+04,1.62,1.62,-0.94,-0.98,,5.31E+05,0.00226562
2.67E+04,1.62,1.62,-0.98,-0.94,,5.34E+05,0.00140625
2.69E+04,1.62,1.62,-0.94,-0.94,,5.38E+05,0.000546875
2.70E+04,1.62,1.62,-0.94,-0.94,,5.41E+05,0.00078125
2.72E+04,1.62,1.62,-0.94,-0.94,,5.44E+05,0.00109375
2.73E+04,1.62,1.62,-0.94,-0.94,,5.47E+05,0.000546875
2.75E+04,1.62,1.62,-0.94,-0.94,,5.50E+05,0
2.77E+04,1.62,1.62,-0.94,-0.94,,5.53E+05,0.000546875
2.78E+04,1.66,1.62,-0.94,-0.94,,5.56E+05,0.00109375
2.80E+04,1.62,1.66,-0.94,-0.94,,5.59E+05,0.00109375
2.81E+04,1.62,1.62,-0.94,-0.94,,5.63E+05,0.00109375
2.83E+04,1.62,1.62,-0.94,-0.94,,5.66E+05,0.00078125
2.84E+04,1.62,1.62,-0.94,-0.94,,5.69E+05,0.000546875
2.86E+04,1.62,1.62,-0.94,-0.94,,5.72E+05,0.000546875
2.88E+04,1.62,1.62,-0.98,-0.98,,5.75E+05,0.000546875
2.89E+04,1.62,1.62,-0.94,-0.94,,5.78E+05,0.00078125
2.91E+04,1.62,1.62,-0.94,-0.94,,5.81E+05,0.00109375
2.92E+04,1.62,1.62,-0.94,-0.94,,5.84E+05,0.00078125
2.94E+04,1.62,1.58,-0.98,-0.98,,5.88E+05,0.000546875
2.95E+04,1.58,1.62,-0.98,-0.94,,5.91E+05,0.00109375
2.97E+04,1.58,1.58,-0.98,-0.98,,5.94E+05,0.00171875
2.98E+04,1.62,1.62,-0.98,-0.94,,5.97E+05,0.00140625
3.00E+04,1.62,1.62,-0.94,-0.94,,6.00E+05,0.00109375
3.02E+04,1.62,1.62,-0.94,-0.94,,6.03E+05,0.00078125
