TIME,CH1,CH2,,TIME,MATH
1.79E+05,1.98,-0.94,,3.58E+06,0.00226562
1.79E+05,1.98,-0.94,,3.59E+06,0.00195312
1.80E+05,1.98,-0.94,,3.60E+06,0.00171875
1.81E+05,1.98,-0.94,,3.61E+06,0.00195312
1.81E+05,1.98,-0.94,,3.63E+06,0.00226562
1.82E+05,1.98,-0.94,,3.64E+06,0.00226562
1.83E+05,1.98,-0.94,,3.65E+06,0.00226562
1.83E+05,1.98,-0.94,,3.66E+06,0.00226562
1.84E+05,1.98,-0.94,,3.68E+06,0.00226562
1.84E+05,1.98,-0.94,,3.69E+06,0.00226562
1.85E+05,1.98,-0.94,,3.70E+06,0.00226562
1.86E+05,1.98,-0.94,,3.71E+06,0.00195312
1.86E+05,1.98,-0.94,,3.73E+06,0.00171875
1.87E+05,1.98,-0.98,,3.74E+06,0.00195312
1.88E+05,1.98,-0.94,,3.75E+06,0.00226562
1.88E+05,1.98,-0.98,,3.76E+06,0.00226562
1.89E+05,1.98,-0.94,,3.78E+06,0.00226562
1.89E+05,1.98,-0.98,,3.79E+06,0.00257812
1.90E+05,1.98,-0.94,,3.80E+06,0.00289063
1.91E+05,1.98,-0.94,,3.81E+06,0.00289063
1.91E+05,1.94,-0.94,,3.83E+06,0.00289063
1.92E+05,1.98,-0.98,,3.84E+06,0.00257812
1.93E+05,1.94,-0.94,,3.85E+06,0.00226562
1.93E+05,1.98,-0.94,,3.86E+06,0.00195312
1.94E+05,1.94,-0.94,,3.88E+06,0.00171875
1.94E+05,1.98,-0.94,,3.89E+06,0.00195312
1.95E+05,1.94,-0.94,,3.90E+06,0.00226562
1.96E+05,1.98,-0.94,,3.91E+06,0.00195312
1.96E+05,1.98,-0.94,,3.93E+06,0.00171875
1.97E+05,1.98,-0.94,,3.94E+06,0.00171875
1.98E+05,1.98,-0.94,,3.95E+06,0.00171875
1.98E+05,1.98,-0.94,,3.96E+06,0.00195312
1.99E+05,1.98,-0.94,,3.98E+06,0.00226562
1.99E+05,1.98,-0.94,,3.99E+06,0.00226562
2.00E+05,1.94,-0.94,,4.00E+06,0.00226562
2.01E+05,1.98,-0.94,,4.01E+06,0.00195312
2.01E+05,1.98,-0.94,,4.03E+06,0.00171875
2.02E+05,1.98,-0.94,,4.04E+06,0.00195312
2.03E+05,1.98,-0.94,,4.05E+06,0.00226562
2.03E+05,1.98,-0.94,,4.06E+06,0.00226562
2.04E+05,1.98,-0.94,,4.08E+06,0.00226562
2.04E+05,1.98,-0.94,,4.09E+06,0.00140625
2.05E+05,1.98,-0.94,,4.10E+06,0.000546875
2.06E+05,1.98,-0.94,,4.11E+06,0.00140625
2.06E+05,1.98,-0.94,,4.13E+06,0.00226562
2.07E+05,1.98,-0.94,,4.14E+06,0.00164063
2.08E+05,1.98,-0.94,,4.15E+06,0.00109375
2.08E+05,1.94,-0.94,,4.16E+06,0.00164063
2.09E+05,1.98,-0.94,,4.18E+06,0.00226562
2.09E+05,1.98,-0.94,,4.19E+06,0.00195312
2.10E+05,1.98,-0.94,,4.20E+06,0.00171875
2.11E+05,1.98,-0.94,,4.21E+06,0.00171875
2.11E+05,1.98,-0.94,,4.23E+06,0.00171875
2.12E+05,1.98,-0.94,,4.24E+06,0.00171875
2.13E+05,1.94,-0.94,,4.25E+06,0.00171875
2.13E+05,1.98,-0.94,,4.26E+06,0.00195312
2.14E+05,1.94,-0.94,,4.28E+06,0.00226562
2.14E+05,1.98,-0.94,,4.29E+06,0.00164063
2.15E+05,1.94,-0.94,,4.30E+06,0.00109375
2.16E+05,1.98,-0.94,,4.31E+06,0.00164063
2.16E+05,1.98,-0.94,,4.33E+06,0.00226562
2.17E+05,1.98,-0.94,,4.34E+06,0.00195312
2.18E+05,1.94,-0.94,,4.35E+06,0.00171875
2.18E+05,1.98,-0.98,,4.36E+06,0.00195312
2.19E+05,1.94,-0.94,,4.38E+06,0.00226562
2.19E+05,1.98,-0.98,,4.39E+06,0.00195312
2.20E+05,1.94,-0.94,,4.40E+06,0.00171875
2.21E+05,1.98,-0.94,,4.41E+06,0.00140625
2.21E+05,1.94,-0.94,,4.43E+06,0.00109375
2.22E+05,2.02,-0.94,,4.44E+06,0.00195312
2.23E+05,1.94,-0.94,,4.45E+06,0.00289063
2.23E+05,1.98,-0.94,,4.46E+06,0.00226562
2.24E+05,1.94,-0.94,,4.48E+06,0.00171875
2.24E+05,1.98,-0.94,,4.49E+06,0.00171875
2.25E+05,1.94,-0.94,,4.50E+06,0.00171875
2.26E+05,1.98,-0.94,,4.51E+06,0.00226562
2.26E+05,1.94,-0.94,,4.53E+06,0.00289063
2.27E+05,1.98,-0.94,,4.54E+06,0.00226562
2.28E+05,1.94,-0.94,,4.55E+06,0.00171875
2.28E+05,1.98,-0.94,,4.56E+06,0.00140625
2.29E+05,1.94,-0.94,,4.58E+06,0.00109375
2.29E+05,1.98,-0.94,,4.59E+06,0.00164063
2.30E+05,1.94,-0.94,,4.60E+06,0.00226562
2.31E+05,1.98,-0.94,,4.61E+06,0.00195312
2.31E+05,1.98,-0.94,,4.63E+06,0.00171875
2.32E+05,1.98,-0.98,,4.64E+06,0.00171875
2.33E+05,1.94,-0.94,,4.65E+06,0.00171875
2.33E+05,1.98,-0.94,,4.66E+06,0.00171875
2.34E+05,1.94,-0.94,,4.68E+06,0.00171875
2.34E+05,1.98,-0.94,,4.69E+06,0.00171875
2.35E+05,1.94,-0.94,,4.70E+06,0.00171875
2.36E+05,1.98,-0.94,,4.71E+06,0.00140625
2.36E+05,1.98,-0.94,,4.73E+06,0.00109375
2.37E+05,2.02,-0.94,,4.74E+06,0.00164063
2.38E+05,1.98,-0.94,,4.75E+06,0.00226562
2.38E+05,1.98,-0.94,,4.76E+06,0.00164063
2.39E+05,1.98,-0.94,,4.78E+06,0.00109375
2.39E+05,1.98,-0.94,,4.79E+06,0.00140625
2.40E+05,1.94,-0.94,,4.80E+06,0.00171875
2.41E+05,1.98,-0.94,,4.81E+06,0.00140625
