TIME,CH1,CH2,,TIME,MATH
1.37E+06,0.87,-0.43,,2.73E+07,0.00115625
1.37E+06,0.87,-0.41,,2.74E+07,0.00115625
1.38E+06,0.87,-0.41,,2.75E+07,0.00128125
1.38E+06,0.87,-0.43,,2.76E+07,0.0014375
1.39E+06,0.87,-0.43,,2.77E+07,0.00084375
1.39E+06,0.87,-0.43,,2.78E+07,0.00028125
1.40E+06,0.87,-0.45,,2.79E+07,0.00040625
1.40E+06,0.87,-0.45,,2.80E+07,0.0005625
1.41E+06,0.87,-0.45,,2.81E+07,0.0005625
1.41E+06,0.87,-0.45,,2.82E+07,0.0005625
1.42E+06,0.89,-0.45,,2.83E+07,0.0006875
1.42E+06,0.87,-0.45,,2.84E+07,0.00084375
1.43E+06,0.85,-0.45,,2.85E+07,0.00084375
1.43E+06,0.87,-0.45,,2.86E+07,0.00084375
1.44E+06,0.87,-0.43,,2.87E+07,0.0006875
1.44E+06,0.87,-0.43,,2.88E+07,0.0005625
1.45E+06,0.87,-0.43,,2.89E+07,0.0005625
1.45E+06,0.87,-0.43,,2.90E+07,0.0005625
1.46E+06,0.87,-0.45,,2.91E+07,0.0005625
1.46E+06,0.87,-0.45,,2.92E+07,0.0005625
1.47E+06,0.87,-0.45,,2.93E+07,0.0005625
1.47E+06,0.89,-0.45,,2.94E+07,0.0005625
1.48E+06,0.89,-0.45,,2.95E+07,0.0006875
1.48E+06,0.89,-0.45,,2.96E+07,0.00084375
1.49E+06,0.91,-0.45,,2.97E+07,0.00084375
1.49E+06,0.89,-0.45,,2.98E+07,0.00084375
1.50E+06,0.91,-0.47,,2.99E+07,0.0005625
1.50E+06,0.89,-0.45,,3.00E+07,0.00028125
1.51E+06,0.91,-0.45,,3.01E+07,0.00028125
1.51E+06,0.91,-0.45,,3.02E+07,0.00028125
1.52E+06,0.91,-0.45,,3.03E+07,0.00071875
1.52E+06,0.91,-0.43,,3.04E+07,0.00115625
1.53E+06,0.91,-0.45,,3.05E+07,0.001
1.53E+06,0.91,-0.45,,3.06E+07,0.00084375
1.54E+06,0.91,-0.45,,3.07E+07,0.001125
1.54E+06,0.89,-0.45,,3.08E+07,0.0014375
1.55E+06,0.91,-0.47,,3.09E+07,0.00084375
1.55E+06,0.89,-0.45,,3.10E+07,0.00028125
1.56E+06,0.91,-0.47,,3.11E+07,0.00040625
1.56E+06,0.93,-0.47,,3.12E+07,0.0005625
1.57E+06,0.93,-0.47,,3.13E+07,0.00084375
1.57E+06,0.93,-0.45,,3.14E+07,0.00115625
1.58E+06,0.95,-0.47,,3.15E+07,0.00084375
1.58E+06,0.95,-0.45,,3.16E+07,0.0005625
1.59E+06,0.93,-0.47,,3.17E+07,0.0005625
1.59E+06,0.91,-0.47,,3.18E+07,0.0005625
1.60E+06,0.93,-0.47,,3.19E+07,0.00040625
1.60E+06,0.93,-0.47,,3.20E+07,0.00028125
1.61E+06,0.95,-0.47,,3.21E+07,0.00071875
1.61E+06,0.93,-0.47,,3.22E+07,0.00115625
1.62E+06,0.95,-0.47,,3.23E+07,0.00084375
1.62E+06,0.93,-0.47,,3.24E+07,0.0005625
1.63E+06,0.95,-0.47,,3.25E+07,0.0006875
1.63E+06,0.95,-0.47,,3.26E+07,0.00084375
1.64E+06,0.95,-0.47,,3.27E+07,0.0006875
1.64E+06,0.93,-0.47,,3.28E+07,0.0005625
1.65E+06,0.95,-0.47,,3.29E+07,0.0005625
1.65E+06,0.93,-0.47,,3.30E+07,0.0005625
1.66E+06,0.93,-0.47,,3.31E+07,0.0006875
1.66E+06,0.93,-0.47,,3.32E+07,0.00084375
1.67E+06,0.93,-0.49,,3.33E+07,0.00084375
1.67E+06,0.93,-0.49,,3.34E+07,0.00084375
1.68E+06,0.95,-0.49,,3.35E+07,0.0005625
1.68E+06,0.95,-0.49,,3.36E+07,0.00028125
1.69E+06,0.95,-0.49,,3.37E+07,0.00040625
1.69E+06,0.95,-0.47,,3.38E+07,0.0005625
1.70E+06,0.95,-0.47,,3.39E+07,0.0005625
1.70E+06,0.95,-0.47,,3.40E+07,0.0005625
1.71E+06,0.95,-0.47,,3.41E+07,0.0006875
1.71E+06,0.95,-0.49,,3.42E+07,0.00084375
1.72E+06,0.95,-0.49,,3.43E+07,0.0006875
1.72E+06,0.95,-0.49,,3.44E+07,0.0005625
1.73E+06,0.95,-0.51,,3.45E+07,0.0006875
1.73E+06,0.95,-0.49,,3.46E+07,0.00084375
1.74E+06,0.97,-0.49,,3.47E+07,0.0006875
1.74E+06,0.95,-0.47,,3.48E+07,0.0005625
1.75E+06,0.97,-0.49,,3.49E+07,0.0006875
1.75E+06,0.97,-0.47,,3.50E+07,0.00084375
1.76E+06,0.97,-0.49,,3.51E+07,0.0005625
1.76E+06,0.95,-0.49,,3.52E+07,0.00028125
1.77E+06,0.97,-0.49,,3.53E+07,0.0005625
1.77E+06,0.97,-0.47,,3.54E+07,0.00084375
1.78E+06,0.99,-0.49,,3.55E+07,0.0005625
1.78E+06,0.97,-0.49,,3.56E+07,0.00028125
1.79E+06,0.99,-0.49,,3.57E+07,0.00040625
1.79E+06,0.97,-0.47,,3.58E+07,0.0005625
1.80E+06,0.99,-0.47,,3.59E+07,0.0006875
1.80E+06,0.97,-0.49,,3.60E+07,0.00084375
1.81E+06,0.99,-0.49,,3.61E+07,0.0006875
1.81E+06,0.97,-0.49,,3.62E+07,0.0005625
1.82E+06,0.99,-0.49,,3.63E+07,0.0005625
1.82E+06,0.97,-0.49,,3.64E+07,0.0005625
1.83E+06,1.01,-0.49,,3.65E+07,0.0005625
1.83E+06,0.99,-0.47,,3.66E+07,0.0005625
1.84E+06,1.01,-0.49,,3.67E+07,0.0005625
1.84E+06,0.99,-0.49,,3.68E+07,0.0005625
1.85E+06,1.01,-0.49,,3.69E+07,0.0006875
1.85E+06,0.99,-0.49,,3.70E+07,0.00084375
