TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,,TIME,MATH
2.72E+04,0.42,0.38,0.66,0.62,,5.44E+05,0.00115625
2.73E+04,0.42,0.42,0.66,0.66,,5.45E+05,0.0014375
2.73E+04,0.38,0.38,0.66,0.66,,5.47E+05,0.00171875
2.74E+04,0.38,0.38,0.66,0.66,,5.48E+05,0.00171875
2.75E+04,0.38,0.38,0.66,0.62,,5.50E+05,0.00171875
2.76E+04,0.42,0.42,0.62,0.66,,5.52E+05,0.0014375
2.77E+04,0.42,0.38,0.66,0.62,,5.53E+05,0.00115625
2.77E+04,0.38,0.42,0.66,0.66,,5.55E+05,0.0014375
2.78E+04,0.38,0.38,0.66,0.66,,5.56E+05,0.00171875
2.79E+04,0.42,0.42,0.66,0.66,,5.58E+05,0.0014375
2.80E+04,0.38,0.38,0.66,0.62,,5.59E+05,0.00115625
2.80E+04,0.42,0.42,0.62,0.66,,5.61E+05,0.00115625
2.81E+04,0.42,0.38,0.62,0.62,,5.63E+05,0.00115625
2.82E+04,0.38,0.42,0.66,0.66,,5.64E+05,0.0014375
2.83E+04,0.42,0.38,0.66,0.66,,5.66E+05,0.00171875
2.84E+04,0.38,0.42,0.66,0.66,,5.67E+05,0.0014375
2.84E+04,0.42,0.38,0.66,0.66,,5.69E+05,0.00115625
2.85E+04,0.38,0.42,0.66,0.66,,5.70E+05,0.00115625
2.86E+04,0.38,0.38,0.66,0.66,,5.72E+05,0.00115625
2.87E+04,0.38,0.38,0.66,0.66,,5.73E+05,0.002
2.88E+04,0.42,0.38,0.66,0.66,,5.75E+05,0.002875
2.88E+04,0.42,0.42,0.66,0.66,,5.77E+05,0.002
2.89E+04,0.42,0.38,0.66,0.66,,5.78E+05,0.00115625
2.90E+04,0.42,0.42,0.66,0.66,,5.80E+05,0.00171875
2.91E+04,0.42,0.38,0.66,0.62,,5.81E+05,0.0023125
2.91E+04,0.42,0.42,0.66,0.66,,5.83E+05,0.00171875
2.92E+04,0.38,0.38,0.66,0.66,,5.84E+05,0.00115625
2.93E+04,0.38,0.42,0.66,0.66,,5.86E+05,0.0014375
2.94E+04,0.42,0.38,0.66,0.66,,5.88E+05,0.00171875
