t,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10
7.47,-7.49625E-06,1.49925E-06,-2.9985E-06,-4.49775E-06,2.9985E-06,0,0,1.49925E-06,-1.49925E-06,0
7.53,0,0,0,-1.49925E-06,-4.49775E-06,0,-2.9985E-06,0,-5.997E-06,1.49925E-06
7.6,0,7.49625E-06,0,0,0,0,-1.49925E-06,0,-2.9985E-06,1.49925E-06
7.67,2.9985E-06,4.49775E-06,1.49925E-06,0,1.49925E-06,4.1979E-06,0,0,0,0
7.73,4.49775E-06,-1.49925E-06,0,0,-1.49925E-06,4.1979E-06,-1.49925E-06,0,1.49925E-06,0
7.8,-1.49925E-06,-1.49925E-06,1.49925E-06,0,-1.49925E-06,1.49925E-06,0,1.49925E-06,1.04948E-05,1.49925E-06
7.87,-5.997E-06,-2.9985E-06,8.9955E-06,0,-1.49925E-06,0,0,0,0,1.49925E-06
7.93,4.49775E-06,-2.9985E-06,5.997E-06,0,5.997E-06,-5.69715E-06,-1.49925E-06,0,0,0
8,0,0,4.49775E-06,1.49925E-06,-5.997E-06,0,0,0,-1.49925E-06,4.49775E-06
8.07,0,0,0,5.997E-06,4.49775E-06,0,4.49775E-06,0,0,0
8.13,0,0,-5.997E-06,0,5.997E-06,1.49925E-06,0,0,0,0
8.2,2.9985E-06,4.49775E-06,0,-2.9985E-06,-5.997E-06,4.1979E-06,0,0,0,0
8.27,-4.49775E-06,0,1.49925E-06,0,1.49925E-06,0,0,1.49925E-06,0,0
8.33,-5.997E-06,-4.49775E-06,1.49925E-06,1.49925E-06,-1.49925E-06,2.84858E-06,-4.49775E-06,0,0,0
8.4,0,0,0,0,-1.49925E-06,1.34933E-06,0,0,2.9985E-06,8.9955E-06
8.47,0,0,-2.9985E-06,1.49925E-06,-2.9985E-06,0,1.49925E-06,0,0,0
8.53,5.997E-06,0,0,4.49775E-06,1.49925E-06,0,1.49925E-06,0,0,0
8.6,-8.9955E-06,2.9985E-06,-4.49775E-06,-1.49925E-06,5.997E-06,1.34933E-06,0,0,7.49625E-06,2.9985E-06
8.67,2.9985E-06,-4.49775E-06,1.49925E-06,-2.9985E-06,-4.49775E-06,0,0,-1.49925E-06,-1.49925E-06,1.49925E-06
8.73,-2.9985E-06,0,1.49925E-06,0,-4.49775E-06,-1.34933E-06,0,0,-1.49925E-06,0
8.8,0,0,0,0,2.9985E-06,0,0,0,-1.49925E-06,-2.9985E-06
8.87,0,0,-2.9985E-06,0,0,0,0,0,-2.9985E-06,-4.49775E-06
8.93,0,2.9985E-06,-2.9985E-06,-1.49925E-06,0,0,0,0,0,0
9,-4.49775E-06,1.49925E-06,1.49925E-06,2.9985E-06,-1.49925E-06,0,0,0,-4.49775E-06,0
9.07,5.997E-06,-4.49775E-06,1.49925E-06,0,2.9985E-06,1.34933E-06,0,0,-2.9985E-06,0
9.13,0,0,0,0,0,2.84858E-06,0,0,0,0
9.2,0,1.49925E-06,0,0,-2.9985E-06,-1.34933E-06,1.49925E-06,0,1.49925E-06,-2.9985E-06
9.27,-5.997E-06,0,2.9985E-06,1.49925E-06,-2.9985E-06,1.34933E-06,0,0,0,-5.997E-06
9.33,7.49625E-06,-2.9985E-06,5.997E-06,4.49775E-06,0,0,0,0,4.49775E-06,0
9.4,-1.49925E-06,4.49775E-06,-8.9955E-06,0,-2.9985E-06,-1.34933E-06,0,0,2.9985E-06,2.9985E-06
9.47,5.997E-06,1.49925E-06,1.49925E-06,0,-2.9985E-06,-1.49925E-06,0,0,0,0
9.53,-5.997E-06,-1.04948E-05,7.49625E-06,-7.49625E-06,-1.49925E-06,0,0,0,0,-2.9985E-06
9.6,1.49925E-06,5.997E-06,-2.9985E-06,1.49925E-06,0,0,0,0,0,2.9985E-06
9.67,0,0,-1.49925E-06,2.9985E-06,0,0,0,0,0,1.49925E-06
9.73,0,0,-1.49925E-06,1.49925E-06,0,0,0,0,0,2.9985E-06
9.8,0,0,0,1.49925E-06,0,0,0,1.49925E-06,-1.49925E-06,0
9.87,2.9985E-06,0,0,-1.49925E-06,-2.9985E-06,2.84858E-06,1.49925E-06,0,-8.9955E-06,-5.997E-06
9.93,0,0,0,0,0,7.04648E-06,1.49925E-06,0,-1.49925E-06,0
10,-4.49775E-06,-2.9985E-06,0,0,0,0,-1.49925E-06,0,0,0
10.1,0,0,0,0,1.49925E-06,0,0,0,0,0
10.1,2.9985E-06,1.49925E-06,0,0,0,0,0,0,0,4.49775E-06
10.2,-5.997E-06,5.997E-06,0,0,-1.49925E-06,0,-1.49925E-06,0,-2.9985E-06,4.49775E-06
10.3,-2.9985E-06,1.49925E-06,0,0,-1.49925E-06,0,0,0,-1.49925E-06,0
10.3,1.49925E-06,0,0,0,0,0,0,0,-1.49925E-06,-4.49775E-06
10.4,2.9985E-06,4.49775E-06,2.9985E-06,0,-1.49925E-06,1.49925E-06,0,0,0,-1.49925E-06
10.5,0,4.49775E-06,2.9985E-06,0,2.9985E-06,-1.49925E-06,0,0,0,0
10.5,-2.9985E-06,-1.49925E-06,0,0,-2.9985E-06,0,0,0,0,0
10.6,-2.9985E-06,0,-1.49925E-06,0,-4.49775E-06,-2.84858E-06,0,0,0,0
10.7,-2.9985E-06,0,0,0,5.997E-06,0,0,0,-7.49625E-06,-1.49925E-06
10.7,0,0,2.9985E-06,0,0,0,-2.9985E-06,0,0,1.49925E-06
10.8,2.9985E-06,-2.9985E-06,0,0,-4.49775E-06,1.49925E-06,1.49925E-06,0,0,4.49775E-06
10.9,0,0,0,0,-4.49775E-06,1.34933E-06,0,0,0,2.9985E-06
10.9,0,0,1.49925E-06,8.9955E-06,8.9955E-06,-1.34933E-06,1.49925E-06,0,0,0
11,0,0,0,-1.49925E-06,-1.49925E-06,0,2.9985E-06,0,2.9985E-06,2.9985E-06
11.1,0,0,-2.9985E-06,-4.49775E-06,-4.49775E-06,0,0,0,2.9985E-06,1.49925E-06
11.1,0,0,0,0,-1.49925E-06,0,-2.9985E-06,0,1.49925E-06,-1.49925E-06
11.2,0,4.49775E-06,1.49925E-06,1.49925E-06,1.49925E-06,2.84858E-06,-2.9985E-06,-1.49925E-06,1.49925E-06,0
11.3,0,0,0,0,1.49925E-06,-1.49925E-06,0,0,-5.997E-06,-2.9985E-06
11.3,2.9985E-06,-7.49625E-06,-1.49925E-06,0,2.9985E-06,0,0,0,0,0
11.4,0,0,-2.9985E-06,0,1.49925E-06,0,0,0,0,0
